MerchantID,Merchant,Address,City,State,Zip,Phone
1,Cinta,"23 Grant Avenue, 2nd Floor",San Francisco,CA,94108,4159891000
2,DiPietro & Todd,"177 Post St, 2nd Floor",San Francisco,CA,94108,4153970177
3,DiPietro & Todd,2239 Fillmore St,San Francisco,CA,94115,4156744366
4,Festoon,9 Claude Lane,San Francisco,CA,94108,4154213223
5,Hand Job,565 Castro St,San Francisco,CA,94114,4158632243
6,I-Spa,888 Howard St,San Francisco,CA,94103,4156166597
7,Mechanical Bionic,4150 18th St #503,San Francisco,CA,94110,4157543251
8,Nob Hill Spa,1075 California St,San Francisco,CA,94108,4154745400
9,Patrick Evan Salon & Spa,"55 Grant Ave, Level 4",San Francisco,CA,94108,4154211111
10,Silk,1425 Franklin St.,San Francisco,CA,94109,4158853277
11,Therapeia,1801 Bush St.,San Francisco,CA,94109,4158854450
12,Thi Spa & Nails,"310 Sutter St., 2nd Floor",San Francisco,CA,94108,4153999972
13,Tranquility Nail Spa,"130 Bush St., 4th Floor",San Francisco,CA,94104,4153911687
14,Tru,750 Kearny St.,San Francisco,CA,94108,4153999700
15,Code Salon,"370 4th Street, 2nd Floor",San Francisco,CA,94107,4156248340
